(MVA map: LMT)            N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.07.40.463 W122.16.19.622 N042.07.29.521 W122.16.41.506
                          N042.07.40.463 W122.15.36.537 N042.07.40.463 W122.16.19.622
                          N042.07.40.463 W122.15.15.336 N042.07.40.463 W122.15.36.537
                          N042.07.41.831 W122.04.10.594 N042.06.23.868 W122.03.54.865
                          N042.07.46.618 W123.04.56.415 N042.02.33.397 W123.04.24.272
                          N042.07.51.406 W122.18.50.761 N042.07.29.521 W122.18.18.619
                          N042.07.51.406 W122.17.24.591 N042.08.01.664 W122.17.24.591
                          N042.07.59.612 W121.19.52.312 N042.09.33.989 W121.19.48.208
                          N042.08.01.664 W122.18.50.761 N042.07.51.406 W122.18.50.761
                          N042.08.01.664 W122.17.24.591 N042.08.23.549 W122.17.46.476
                          N042.08.23.549 W122.18.29.561 N042.08.01.664 W122.18.50.761
                          N042.08.23.549 W122.17.46.476 N042.08.23.549 W122.18.29.561
                          N042.08.23.549 W122.16.41.506 N042.08.23.549 W122.15.15.336
                          N042.08.31.071 W120.56.53.588 N042.11.34.354 W120.56.57.692
                          N042.08.39.278 W122.24.30.655 N042.06.02.667 W122.24.16.293
                          N042.08.59.795 W122.04.18.117 N042.07.41.831 W122.04.10.594
                          N042.09.14.156 W122.48.56.916 N042.09.14.156 W122.49.40.002
                          N042.09.14.156 W122.49.40.002 N042.09.25.099 W122.50.01.202
                          N042.09.14.156 W122.47.30.062 N042.09.14.156 W122.46.46.977
                          N042.09.14.156 W122.46.46.977 N042.09.36.041 W122.46.25.777
                          N042.09.33.989 W121.19.48.208 N042.11.07.682 W121.19.55.047
                          N042.09.36.041 W122.48.35.032 N042.09.14.156 W122.48.56.916
                          N042.09.36.041 W122.46.25.777 N042.09.46.299 W122.46.25.777
                          N042.09.36.041 W122.47.51.947 N042.09.14.156 W122.47.30.062
                          N042.09.44.248 W120.56.52.904 N042.12.47.530 W120.57.05.214
                          N042.09.46.299 W122.46.25.777 N042.10.08.184 W122.46.57.920
                          N042.09.46.299 W122.47.51.947 N042.09.36.041 W122.47.51.947
                          N042.09.57.242 W122.49.40.002 N042.10.19.126 W122.50.01.202
                          N042.09.57.242 W122.48.56.916 N042.09.57.242 W122.49.40.002
                          N042.10.08.184 W122.46.57.920 N042.10.08.184 W122.47.19.804
                          N042.10.08.184 W122.47.19.804 N042.09.46.299 W122.47.51.947
                          N042.10.08.184 W122.46.57.920 N042.10.30.068 W122.46.25.777
                          N042.10.18.442 W122.04.15.382 N042.08.59.795 W122.04.18.117
                          N042.10.19.126 W122.50.01.202 N042.10.40.327 W122.50.01.202
                          N042.10.19.126 W122.48.35.032 N042.09.57.242 W122.48.56.916
                          N042.10.30.068 W122.47.51.947 N042.10.08.184 W122.47.19.804
                          N042.10.30.068 W122.46.25.777 N042.10.40.327 W122.46.25.777
                          N042.10.40.327 W122.50.01.202 N042.11.02.211 W122.49.40.002
                          N042.10.40.327 W122.48.35.032 N042.09.36.041 W122.48.35.032
                          N042.10.40.327 W122.46.25.777 N042.11.02.211 W122.46.46.977
                          N042.10.40.327 W122.47.51.947 N042.10.30.068 W122.47.51.947
                          N042.10.54.688 W120.23.10.640 N042.16.07.910 W120.23.37.312
                          N042.11.02.211 W122.49.40.002 N042.11.02.211 W122.48.56.916
                          N042.11.02.211 W122.48.56.916 N042.10.40.327 W122.48.35.032
                          N042.11.02.211 W122.46.46.977 N042.11.02.211 W122.47.30.062
                          N042.11.02.211 W122.47.30.062 N042.10.40.327 W122.47.51.947
                          N042.11.07.682 W121.19.55.047 N042.12.41.375 W121.20.13.512
                          N042.11.15.889 W122.24.27.236 N042.08.39.278 W122.24.30.655
                          N042.11.34.354 W120.56.57.692 N042.14.36.953 W120.57.23.679
                          N042.11.36.406 W122.04.03.755 N042.10.18.442 W122.04.15.382
                          N042.12.41.375 W121.20.13.512 N042.14.13.017 W121.20.42.920
                          N042.12.47.530 W120.57.05.214 N042.15.48.761 W120.57.39.409
                          N042.12.51.634 W122.00.56.369 N042.13.23.777 W122.03.32.296
                          N042.12.53.685 W122.03.43.239 N042.11.36.406 W122.04.03.755
                          N042.13.00.524 W123.04.52.312 N042.07.46.618 W123.04.56.415
                          N042.13.23.777 W122.03.32.296 N042.12.53.685 W122.03.43.239
                          N042.13.23.777 W122.03.32.296 N042.12.51.634 W122.00.56.369
                          N042.13.52.500 W122.24.04.667 N042.11.15.889 W122.24.27.236
                          N042.13.55.919 W122.00.27.646 N042.12.51.634 W122.00.56.369
                          N042.14.13.017 W121.20.42.920 N042.15.42.606 W121.21.22.585
                          N042.14.36.953 W120.57.23.679 N042.17.03.989 W120.58.00.609
                          N042.14.58.153 W121.59.51.400 N042.13.55.919 W122.00.27.646
                          N042.15.42.606 W121.21.22.585 N042.17.08.777 W121.22.12.509
                          N042.15.48.761 W120.57.39.409 N042.18.47.257 W120.58.35.488
                          N042.15.58.336 W121.59.07.631 N042.14.58.153 W121.59.51.400
                          N042.16.07.910 W120.23.37.312 N042.21.18.397 W120.24.40.230
