((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.35.01.328 W122.49.09.011 N048.34.57.694 W122.49.04.502 RVM
                          N048.34.57.694 W122.49.04.502 N048.34.53.547 W122.49.01.153 RVM
                          N048.34.53.547 W122.49.01.153 N048.34.49.047 W122.48.59.091 RVM
                          N048.34.49.047 W122.48.59.091 N048.34.44.368 W122.48.58.395 RVM
                          N048.34.44.368 W122.48.58.395 N048.34.39.689 W122.48.59.093 RVM
                          N048.34.39.689 W122.48.59.093 N048.34.35.190 W122.49.01.156 RVM
                          N048.34.35.190 W122.49.01.156 N048.34.31.044 W122.49.04.507 RVM
                          N048.34.31.044 W122.49.04.507 N048.34.27.410 W122.49.09.015 RVM
                          N048.34.27.410 W122.49.09.015 N048.34.24.428 W122.49.14.509 RVM
                          N048.34.24.428 W122.49.14.509 N048.34.22.212 W122.49.20.776 RVM
                          N048.34.22.212 W122.49.20.776 N048.34.20.847 W122.49.27.576 RVM
                          N048.34.20.847 W122.49.27.576 N048.34.20.386 W122.49.34.647 RVM
                          N048.34.20.386 W122.49.34.647 N048.34.20.847 W122.49.41.718 RVM
                          N048.34.20.847 W122.49.41.718 N048.34.22.212 W122.49.48.518 RVM
                          N048.34.22.212 W122.49.48.518 N048.34.24.428 W122.49.54.785 RVM
                          N048.34.24.428 W122.49.54.785 N048.34.27.410 W122.50.00.279 RVM
                          N048.34.27.410 W122.50.00.279 N048.34.31.044 W122.50.04.787 RVM
                          N048.34.31.044 W122.50.04.787 N048.34.35.190 W122.50.08.138 RVM
                          N048.34.35.190 W122.50.08.138 N048.34.39.689 W122.50.10.201 RVM
                          N048.34.39.689 W122.50.10.201 N048.34.44.368 W122.50.10.899 RVM
                          N048.34.44.368 W122.50.10.899 N048.34.49.047 W122.50.10.203 RVM
                          N048.34.49.047 W122.50.10.203 N048.34.53.547 W122.50.08.141 RVM
                          N048.34.53.547 W122.50.08.141 N048.34.57.694 W122.50.04.792 RVM
                          N048.34.57.694 W122.50.04.792 N048.35.01.328 W122.50.00.283 RVM
