((GEG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.32.38.390 W116.10.49.061 N047.32.34.756 W116.10.53.480 RVM
                          N047.32.34.756 W116.10.53.480 N047.32.31.774 W116.10.58.864 RVM
                          N047.32.31.774 W116.10.58.864 N047.32.29.558 W116.11.05.007 RVM
                          N047.32.29.558 W116.11.05.007 N047.32.28.193 W116.11.11.672 RVM
                          N047.32.28.193 W116.11.11.672 N047.32.27.732 W116.11.18.603 RVM
                          N047.32.27.732 W116.11.18.603 N047.32.28.193 W116.11.25.534 RVM
                          N047.32.28.193 W116.11.25.534 N047.32.29.558 W116.11.32.199 RVM
                          N047.32.29.558 W116.11.32.199 N047.32.31.774 W116.11.38.342 RVM
                          N047.32.31.774 W116.11.38.342 N047.32.34.756 W116.11.43.726 RVM
                          N047.32.34.756 W116.11.43.726 N047.32.38.390 W116.11.48.145 RVM
                          N047.32.38.390 W116.11.48.145 N047.32.42.536 W116.11.51.429 RVM
                          N047.32.42.536 W116.11.51.429 N047.32.47.036 W116.11.53.452 RVM
                          N047.32.47.036 W116.11.53.452 N047.32.51.714 W116.11.54.136 RVM
                          N047.32.51.714 W116.11.54.136 N047.32.56.394 W116.11.53.454 RVM
                          N047.32.56.394 W116.11.53.454 N047.33.00.893 W116.11.51.433 RVM
                          N047.33.00.893 W116.11.51.433 N047.33.05.040 W116.11.48.150 RVM
                          N047.33.05.040 W116.11.48.150 N047.33.08.674 W116.11.43.731 RVM
                          N047.33.08.674 W116.11.43.731 N047.33.11.657 W116.11.38.346 RVM
                          N047.33.11.657 W116.11.38.346 N047.33.13.874 W116.11.32.202 RVM
                          N047.33.13.874 W116.11.32.202 N047.33.15.239 W116.11.25.536 RVM
                          N047.33.15.239 W116.11.25.536 N047.33.15.700 W116.11.18.603 RVM
                          N047.33.15.700 W116.11.18.603 N047.33.27.692 W116.11.18.603 RVM
                          N047.32.51.714 W116.10.43.070 N047.32.51.713 W116.10.25.304 RVM
                          N047.32.27.732 W116.11.18.603 N047.32.15.740 W116.11.18.603 RVM
                          N047.32.51.714 W116.11.54.136 N047.32.51.713 W116.12.11.902 RVM
    ; S96
                          N048.13.23.717 W116.21.38.658 N048.13.23.256 W116.21.31.635 RVM
                          N048.13.23.256 W116.21.31.635 N048.13.21.891 W116.21.24.882 RVM
                          N048.13.21.891 W116.21.24.882 N048.13.19.674 W116.21.18.658 RVM
                          N048.13.19.674 W116.21.18.658 N048.13.16.691 W116.21.13.204 RVM
                          N048.13.16.691 W116.21.13.204 N048.13.13.057 W116.21.08.727 RVM
                          N048.13.13.057 W116.21.08.727 N048.13.08.910 W116.21.05.402 RVM
                          N048.13.08.910 W116.21.05.402 N048.13.04.411 W116.21.03.354 RVM
                          N048.13.04.411 W116.21.03.354 N048.12.59.731 W116.21.02.663 RVM
                          N048.12.59.731 W116.21.02.663 N048.12.55.052 W116.21.03.356 RVM
                          N048.12.55.052 W116.21.03.356 N048.12.50.553 W116.21.05.405 RVM
                          N048.12.50.553 W116.21.05.405 N048.12.46.407 W116.21.08.732 RVM
                          N048.12.46.407 W116.21.08.732 N048.12.42.773 W116.21.13.208 RVM
                          N048.12.42.773 W116.21.13.208 N048.12.39.791 W116.21.18.663 RVM
                          N048.12.39.791 W116.21.18.663 N048.12.37.575 W116.21.24.885 RVM
                          N048.12.37.575 W116.21.24.885 N048.12.36.210 W116.21.31.637 RVM
                          N048.12.36.210 W116.21.31.637 N048.12.35.749 W116.21.38.658 RVM
                          N048.12.35.749 W116.21.38.658 N048.12.36.210 W116.21.45.679 RVM
                          N048.12.36.210 W116.21.45.679 N048.12.37.575 W116.21.52.431 RVM
                          N048.12.37.575 W116.21.52.431 N048.12.39.791 W116.21.58.653 RVM
                          N048.12.39.791 W116.21.58.653 N048.12.42.773 W116.22.04.108 RVM
                          N048.12.42.773 W116.22.04.108 N048.12.46.407 W116.22.08.584 RVM
                          N048.12.46.407 W116.22.08.584 N048.12.50.553 W116.22.11.911 RVM
                          N048.12.50.553 W116.22.11.911 N048.12.55.052 W116.22.13.960 RVM
                          N048.12.55.052 W116.22.13.960 N048.12.59.731 W116.22.14.653 RVM
                          N048.12.59.731 W116.22.14.653 N048.13.04.411 W116.22.13.962 RVM
                          N048.13.04.411 W116.22.13.962 N048.13.08.910 W116.22.11.914 RVM
                          N048.13.08.910 W116.22.11.914 N048.13.13.057 W116.22.08.589 RVM
                          N048.13.13.057 W116.22.08.589 N048.13.16.691 W116.22.04.112 RVM
                          N048.13.16.691 W116.22.04.112 N048.13.19.674 W116.21.58.658 RVM
                          N048.13.19.674 W116.21.58.658 N048.13.21.891 W116.21.52.434 RVM
                          N048.13.21.891 W116.21.52.434 N048.13.23.256 W116.21.45.681 RVM
                          N048.13.23.256 W116.21.45.681 N048.13.23.717 W116.21.38.658 RVM
                          N048.13.23.717 W116.21.38.658 N048.13.35.709 W116.21.38.658 RVM
                          N048.12.59.731 W116.21.02.663 N048.12.59.729 W116.20.44.666 RVM
                          N048.12.35.749 W116.21.38.658 N048.12.23.757 W116.21.38.658 RVM
                          N048.12.59.731 W116.22.14.653 N048.12.59.729 W116.22.32.650 RVM
    ; KSZT
                          N048.18.22.346 W116.33.36.486 N048.18.21.885 W116.33.29.451 RVM
                          N048.18.21.885 W116.33.29.451 N048.18.20.520 W116.33.22.687 RVM
                          N048.18.20.520 W116.33.22.687 N048.18.18.303 W116.33.16.454 RVM
                          N048.18.18.303 W116.33.16.454 N048.18.15.320 W116.33.10.990 RVM
                          N048.18.15.320 W116.33.10.990 N048.18.11.686 W116.33.06.507 RVM
                          N048.18.11.686 W116.33.06.507 N048.18.07.539 W116.33.03.176 RVM
                          N048.18.07.539 W116.33.03.176 N048.18.03.040 W116.33.01.125 RVM
                          N048.18.03.040 W116.33.01.125 N048.17.58.360 W116.33.00.433 RVM
                          N048.17.58.360 W116.33.00.433 N048.17.53.681 W116.33.01.127 RVM
                          N048.17.53.681 W116.33.01.127 N048.17.49.182 W116.33.03.179 RVM
                          N048.17.49.182 W116.33.03.179 N048.17.45.036 W116.33.06.511 RVM
                          N048.17.45.036 W116.33.06.511 N048.17.41.402 W116.33.10.995 RVM
                          N048.17.41.402 W116.33.10.995 N048.17.38.420 W116.33.16.458 RVM
                          N048.17.38.420 W116.33.16.458 N048.17.36.204 W116.33.22.691 RVM
                          N048.17.36.204 W116.33.22.691 N048.17.34.839 W116.33.29.453 RVM
                          N048.17.34.839 W116.33.29.453 N048.17.34.378 W116.33.36.486 RVM
                          N048.17.34.378 W116.33.36.486 N048.17.34.839 W116.33.43.519 RVM
                          N048.17.34.839 W116.33.43.519 N048.17.36.204 W116.33.50.281 RVM
                          N048.17.36.204 W116.33.50.281 N048.17.38.420 W116.33.56.514 RVM
                          N048.17.38.420 W116.33.56.514 N048.17.41.402 W116.34.01.977 RVM
                          N048.17.41.402 W116.34.01.977 N048.17.45.036 W116.34.06.461 RVM
                          N048.17.45.036 W116.34.06.461 N048.17.49.182 W116.34.09.793 RVM
                          N048.17.49.182 W116.34.09.793 N048.17.53.681 W116.34.11.845 RVM
                          N048.17.53.681 W116.34.11.845 N048.17.58.360 W116.34.12.539 RVM
                          N048.17.58.360 W116.34.12.539 N048.18.03.040 W116.34.11.847 RVM
                          N048.18.03.040 W116.34.11.847 N048.18.07.539 W116.34.09.796 RVM
                          N048.18.07.539 W116.34.09.796 N048.18.11.686 W116.34.06.465 RVM
                          N048.18.11.686 W116.34.06.465 N048.18.15.320 W116.34.01.982 RVM
                          N048.18.15.320 W116.34.01.982 N048.18.18.303 W116.33.56.518 RVM
                          N048.18.18.303 W116.33.56.518 N048.18.20.520 W116.33.50.285 RVM
                          N048.18.20.520 W116.33.50.285 N048.18.21.885 W116.33.43.521 RVM
                          N048.18.21.885 W116.33.43.521 N048.18.22.346 W116.33.36.486 RVM
                          N048.18.22.346 W116.33.36.486 N048.18.34.338 W116.33.36.486 RVM
                          N048.17.58.360 W116.33.00.433 N048.17.58.358 W116.32.42.406 RVM
                          N048.17.34.378 W116.33.36.486 N048.17.22.386 W116.33.36.486 RVM
                          N048.17.58.360 W116.34.12.539 N048.17.58.358 W116.34.30.566 RVM
    ; 63S
                          N048.33.01.984 W117.53.02.000 N048.33.01.523 W117.52.54.932 RVM
                          N048.33.01.523 W117.52.54.932 N048.33.00.158 W117.52.48.135 RVM
                          N048.33.00.158 W117.52.48.135 N048.32.57.941 W117.52.41.871 RVM
                          N048.32.57.941 W117.52.41.871 N048.32.54.958 W117.52.36.381 RVM
                          N048.32.54.958 W117.52.36.381 N048.32.51.324 W117.52.31.876 RVM
                          N048.32.51.324 W117.52.31.876 N048.32.47.177 W117.52.28.529 RVM
                          N048.32.47.177 W117.52.28.529 N048.32.42.677 W117.52.26.468 RVM
                          N048.32.42.677 W117.52.26.468 N048.32.37.998 W117.52.25.773 RVM
                          N048.32.37.998 W117.52.25.773 N048.32.33.319 W117.52.26.470 RVM
                          N048.32.33.319 W117.52.26.470 N048.32.28.820 W117.52.28.533 RVM
                          N048.32.28.820 W117.52.28.533 N048.32.24.674 W117.52.31.881 RVM
                          N048.32.24.674 W117.52.31.881 N048.32.21.040 W117.52.36.386 RVM
                          N048.32.21.040 W117.52.36.386 N048.32.18.058 W117.52.41.876 RVM
                          N048.32.18.058 W117.52.41.876 N048.32.15.842 W117.52.48.138 RVM
                          N048.32.15.842 W117.52.48.138 N048.32.14.477 W117.52.54.933 RVM
                          N048.32.14.477 W117.52.54.933 N048.32.14.016 W117.53.02.000 RVM
                          N048.32.14.016 W117.53.02.000 N048.32.14.477 W117.53.09.067 RVM
                          N048.32.14.477 W117.53.09.067 N048.32.15.842 W117.53.15.862 RVM
                          N048.32.15.842 W117.53.15.862 N048.32.18.058 W117.53.22.124 RVM
                          N048.32.18.058 W117.53.22.124 N048.32.21.040 W117.53.27.614 RVM
                          N048.32.21.040 W117.53.27.614 N048.32.24.674 W117.53.32.119 RVM
                          N048.32.24.674 W117.53.32.119 N048.32.28.820 W117.53.35.467 RVM
                          N048.32.28.820 W117.53.35.467 N048.32.33.319 W117.53.37.530 RVM
                          N048.32.33.319 W117.53.37.530 N048.32.37.998 W117.53.38.227 RVM
                          N048.32.37.998 W117.53.38.227 N048.32.42.677 W117.53.37.532 RVM
                          N048.32.42.677 W117.53.37.532 N048.32.47.177 W117.53.35.471 RVM
                          N048.32.47.177 W117.53.35.471 N048.32.51.324 W117.53.32.124 RVM
                          N048.32.51.324 W117.53.32.124 N048.32.54.958 W117.53.27.619 RVM
                          N048.32.54.958 W117.53.27.619 N048.32.57.941 W117.53.22.129 RVM
                          N048.32.57.941 W117.53.22.129 N048.33.00.158 W117.53.15.865 RVM
                          N048.33.00.158 W117.53.15.865 N048.33.01.523 W117.53.09.068 RVM
                          N048.33.01.523 W117.53.09.068 N048.33.01.984 W117.53.02.000 RVM
                          N048.33.01.984 W117.53.02.000 N048.33.13.976 W117.53.02.000 RVM
                          N048.32.37.998 W117.52.25.773 N048.32.37.996 W117.52.07.660 RVM
                          N048.32.14.016 W117.53.02.000 N048.32.02.024 W117.53.02.000 RVM
                          N048.32.37.998 W117.53.38.227 N048.32.37.996 W117.53.56.340 RVM
    ; S77
                          N047.50.38.681 W116.15.48.646 N047.50.38.220 W116.15.41.674 RVM
                          N047.50.38.220 W116.15.41.674 N047.50.36.855 W116.15.34.971 RVM
                          N047.50.36.855 W116.15.34.971 N047.50.34.638 W116.15.28.793 RVM
