((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.55.59.937 W123.00.56.971 N043.56.04.084 W123.00.53.893 RVM 
                          N043.56.04.084 W123.00.53.893 N043.56.07.718 W123.00.49.752 RVM 
                          N043.56.07.718 W123.00.49.752 N043.56.10.701 W123.00.44.705 RVM 
                          N043.56.10.701 W123.00.44.705 N043.56.12.918 W123.00.38.947 RVM 
                          N043.56.12.918 W123.00.38.947 N043.56.14.283 W123.00.32.699 RVM 
                          N043.56.14.283 W123.00.32.699 N043.56.14.744 W123.00.26.202 RVM 
                          N043.56.14.744 W123.00.26.202 N043.56.26.736 W123.00.26.202 RVM 
                          N043.55.50.759 W122.59.52.899 N043.55.50.757 W122.59.36.248 RVM 
                          N043.55.26.776 W123.00.26.202 N043.55.14.784 W123.00.26.202 RVM 
                          N043.55.50.759 W123.00.59.504 N043.55.50.757 W123.01.16.156 RVM 
    ; 61S                                                      
                          N043.48.23.427 W123.01.44.284 N043.48.22.966 W123.01.37.801 RVM 
                          N043.48.22.966 W123.01.37.801 N043.48.21.601 W123.01.31.566 RVM 
                          N043.48.21.601 W123.01.31.566 N043.48.19.384 W123.01.25.821 RVM 
                          N043.48.19.384 W123.01.25.821 N043.48.16.401 W123.01.20.785 RVM 
                          N043.48.16.401 W123.01.20.785 N043.48.12.767 W123.01.16.653 RVM 
                          N043.48.12.767 W123.01.16.653 N043.48.08.620 W123.01.13.583 RVM 
                          N043.48.08.620 W123.01.13.583 N043.48.04.121 W123.01.11.692 RVM 
                          N043.48.04.121 W123.01.11.692 N043.47.59.442 W123.01.11.054 RVM 
                          N043.47.59.442 W123.01.11.054 N043.47.54.763 W123.01.11.694 RVM 
                          N043.47.54.763 W123.01.11.694 N043.47.50.264 W123.01.13.585 RVM 
                          N043.47.50.264 W123.01.13.585 N043.47.46.117 W123.01.16.656 RVM 
                          N043.47.46.117 W123.01.16.656 N043.47.42.483 W123.01.20.789 RVM 
                          N043.47.42.483 W123.01.20.789 N043.47.39.501 W123.01.25.824 RVM 
