Map 2- ILS Finals         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; KACV 32 center cross at HURDU                        
                          N040.49.37.133 W123.59.29.062 N040.49.05.371 W124.00.50.830 
    ; KACV 32 center cross at KORBE                        
                          N040.47.05.314 W123.57.46.471 N040.46.33.552 W123.59.08.187 
    ; KACV 32 centerline                                   
                          N040.41.32.270 W123.54.53.430 N040.40.38.867 W123.54.17.477 
                          N040.39.45.461 W123.53.41.540 N040.38.52.052 W123.53.05.619 
                          N040.37.58.640 W123.52.29.714 N040.37.05.225 W123.51.53.825 
                          N040.36.11.807 W123.51.17.952 N040.35.18.386 W123.50.42.095 
                          N040.34.24.961 W123.50.06.253 N040.33.36.877 W123.49.34.010 
    ; KACV 32 center cross at FEKTO                        
                          N040.38.50.670 W123.52.13.236 N040.38.18.907 W123.53.34.784 
    ; KACV 32 center cross at 27.8                         
                          N040.33.47.413 W123.48.49.703 N040.33.15.651 W123.50.11.148 
    ; KACV 32 center cross at YAGER                        
                          N040.33.42.367 W123.48.46.321 N040.33.10.605 W123.50.07.765 
                          N044.15.32.605 W121.08.18.373 N044.14.58.234 W121.09.42.430 
                          N044.14.58.234 W121.09.42.430 N044.15.32.605 W121.08.18.373 
                          N044.14.55.598 W121.08.18.516 N044.15.32.114 W121.09.40.149 
                          N044.15.32.114 W121.09.40.149 N044.14.55.598 W121.08.18.516 
    ; KRDM 22 centerline                                   
                          N044.18.57.468 W120.59.56.256 N044.19.27.108 W120.58.43.404 
                          N044.19.56.735 W120.57.30.532 N044.20.26.348 W120.56.17.640 
                          N044.20.55.949 W120.55.04.727 N044.21.25.537 W120.53.51.794 
                          N044.21.55.113 W120.52.38.841 N044.22.24.675 W120.51.25.866 
                          N044.22.54.224 W120.50.12.872 N044.23.23.761 W120.48.59.857 
                          N044.23.53.284 W120.47.46.821 N044.24.22.795 W120.46.33.765 
                          N044.24.52.293 W120.45.20.689 N044.25.21.777 W120.44.07.592 
    ; KRDM 22 center cross at YUBUB                        
                          N044.23.38.374 W120.50.02.527 N044.22.37.976 W120.49.14.262 
    ; KRDM 22 center cross at HUTKI                        
                          N044.21.18.981 W120.55.46.504 N044.20.18.583 W120.54.58.271 
                          N046.22.25.541 W117.01.39.282 N046.22.15.706 W117.00.07.521 
                          N046.22.15.706 W117.00.07.521 N046.22.25.541 W117.01.39.282 
                          N046.22.54.443 W117.01.24.730 N046.22.21.649 W117.00.31.410 
                          N046.22.21.649 W117.00.31.410 N046.22.54.443 W117.01.24.730 
    ; KLWS 26 centerline                                   
                          N046.20.23.937 W116.42.56.176 N046.20.14.520 W116.41.30.406 
                          N046.20.05.085 W116.40.04.644 N046.19.55.633 W116.38.38.890 
                          N046.19.46.162 W116.37.13.144 N046.19.36.674 W116.35.47.407 
                          N046.19.27.168 W116.34.21.677 N046.19.25.336 W116.34.05.173 
    ; KLWS 26 center cross at CUPEV                        
                          N046.21.44.888 W116.49.55.294 N046.20.36.157 W116.50.10.745 
    ; KLWS 26 center cross at WIXOP                        
                          N046.19.59.701 W116.33.57.450 N046.18.50.970 W116.34.12.893 
    ; KLWS 26 center cross at CFLSK                        
                          N046.21.07.701 W116.44.14.229 N046.19.58.970 W116.44.29.678 
                          N044.07.58.705 W123.12.09.827 N044.06.59.459 W123.12.08.949 
                          N044.06.59.459 W123.12.08.949 N044.07.58.705 W123.12.09.827 
                          N044.08.07.611 W123.13.08.936 N044.06.48.524 W123.13.07.740 
                          N044.06.48.524 W123.13.07.740 N044.08.07.611 W123.13.08.936 
    ; KEUG 16R centerline                                  
                          N044.14.06.873 W123.13.14.376 N044.15.06.829 W123.13.15.286 
                          N044.16.06.785 W123.13.16.196 N044.17.06.741 W123.13.17.107 
                          N044.18.06.697 W123.13.18.018 N044.19.06.653 W123.13.18.930 
                          N044.20.06.609 W123.13.19.842 N044.21.06.564 W123.13.20.755 
                          N044.22.06.520 W123.13.21.669 N044.23.06.476 W123.13.22.582 
                          N044.24.06.432 W123.13.23.497 N044.25.06.388 W123.13.24.412 
                          N044.26.06.344 W123.13.25.327 N044.26.06.818 W123.13.25.335 
    ; KEUG 16R center cross at MACTA                       
                          N044.13.06.537 W123.14.01.988 N044.13.07.291 W123.12.24.946 
    ; KEUG 16R center cross at HOCUM                       
                          N044.24.56.238 W123.14.12.947 N044.24.56.993 W123.12.35.578 
    ; KEUG 16L centerline                                  
                          N044.13.57.204 W123.12.15.149 N044.14.57.160 W123.12.16.041 
