((MFR-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.02.58.161 W122.44.00.156 N042.02.38.990 W122.45.30.190 RVM
    ; OED VORTAC final approach Full cross at ROMAE
                          N041.56.14.052 W122.41.25.632 N041.55.54.880 W122.42.55.507 RVM
    ; OED VORTAC final approach course 278 from 25.5 to 28.5
                          N042.16.40.680 W122.22.53.100 N042.16.13.119 W122.21.41.134 RVM
    ; OED VORTAC final approach Left cross at 27.0
                          N042.15.24.927 W122.22.59.778 N042.16.26.901 W122.22.17.115 RVM
    ; OED VORTAC final approach course 036 from 25.5 to 28.5
                          N042.13.31.357 W123.24.04.243 N042.12.56.679 W123.25.10.292 RVM
    ; OED VORTAC final approach Right cross at 27.0
                          N042.12.17.041 W123.23.43.414 N042.13.14.019 W123.24.37.270 RVM
    ; OED VORTAC final approach course 162 from 7.0 to 9.0
                          N042.36.46.070 W122.54.35.186 N042.37.46.020 W122.54.33.761 RVM
    ; OED VORTAC final approach Full cross at 9.0
                          N042.37.46.624 W122.55.21.020 N042.37.45.411 W122.53.46.501 RVM
    ; OED VORTAC
                          N042.28.58.459 W122.54.46.561 N042.28.58.228 W122.54.43.389 RVM
                          N042.28.58.228 W122.54.43.389 N042.28.57.546 W122.54.40.338 RVM
                          N042.28.57.546 W122.54.40.338 N042.28.56.438 W122.54.37.527 RVM
                          N042.28.56.438 W122.54.37.527 N042.28.54.946 W122.54.35.063 RVM
                          N042.28.54.946 W122.54.35.063 N042.28.53.129 W122.54.33.041 RVM
                          N042.28.53.129 W122.54.33.041 N042.28.51.056 W122.54.31.539 RVM
                          N042.28.51.056 W122.54.31.539 N042.28.48.806 W122.54.30.613 RVM
                          N042.28.48.806 W122.54.30.613 N042.28.46.467 W122.54.30.301 RVM
                          N042.28.46.467 W122.54.30.301 N042.28.44.127 W122.54.30.614 RVM
                          N042.28.44.127 W122.54.30.614 N042.28.41.878 W122.54.31.539 RVM
