((LMT-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.09.17.842 W120.24.09.081 N042.09.20.058 W120.24.14.674 RVM
                          N042.09.20.058 W120.24.14.674 N042.09.23.040 W120.24.19.577 RVM
                          N042.09.23.040 W120.24.19.577 N042.09.26.674 W120.24.23.601 RVM
                          N042.09.26.674 W120.24.23.601 N042.09.30.821 W120.24.26.591 RVM
                          N042.09.30.821 W120.24.26.591 N042.09.35.320 W120.24.28.433 RVM
                          N042.09.35.320 W120.24.28.433 N042.09.39.999 W120.24.29.055 RVM
                          N042.09.39.999 W120.24.29.055 N042.09.44.678 W120.24.28.434 RVM
                          N042.09.44.678 W120.24.28.434 N042.09.49.177 W120.24.26.594 RVM
                          N042.09.49.177 W120.24.26.594 N042.09.53.324 W120.24.23.604 RVM
                          N042.09.53.324 W120.24.23.604 N042.09.56.958 W120.24.19.580 RVM
                          N042.09.56.958 W120.24.19.580 N042.09.59.941 W120.24.14.677 RVM
                          N042.09.59.941 W120.24.14.677 N042.10.02.158 W120.24.09.083 RVM
                          N042.10.02.158 W120.24.09.083 N042.10.03.523 W120.24.03.013 RVM
                          N042.10.03.523 W120.24.03.013 N042.10.03.984 W120.23.56.700 RVM
                          N042.10.02.861 W120.23.46.916 N042.10.14.291 W120.23.42.023 RVM
                          N042.09.32.747 W120.23.25.860 N042.09.29.119 W120.23.10.441 RVM
                          N042.09.17.139 W120.24.06.482 N042.09.05.708 W120.24.11.373 RVM
                          N042.09.47.251 W120.24.27.542 N042.09.50.875 W120.24.42.964 RVM
    ; 1O6
                          N041.16.11.536 W122.16.19.030 N041.16.11.075 W122.16.12.805 RVM
                          N041.16.11.075 W122.16.12.805 N041.16.09.710 W122.16.06.819 RVM
                          N041.16.09.710 W122.16.06.819 N041.16.07.493 W122.16.01.302 RVM
                          N041.16.07.493 W122.16.01.302 N041.16.04.511 W122.15.56.467 RVM
                          N041.16.04.511 W122.15.56.467 N041.16.00.876 W122.15.52.499 RVM
                          N041.16.00.876 W122.15.52.499 N041.15.56.729 W122.15.49.551 RVM
                          N041.15.56.729 W122.15.49.551 N041.15.52.230 W122.15.47.736 RVM
                          N041.15.52.230 W122.15.47.736 N041.15.47.551 W122.15.47.123 RVM
                          N041.15.47.551 W122.15.47.123 N041.15.42.872 W122.15.47.737 RVM
                          N041.15.42.872 W122.15.47.737 N041.15.38.373 W122.15.49.553 RVM
                          N041.15.38.373 W122.15.49.553 N041.15.34.226 W122.15.52.502 RVM
                          N041.15.34.226 W122.15.52.502 N041.15.30.592 W122.15.56.470 RVM
                          N041.15.30.592 W122.15.56.470 N041.15.27.610 W122.16.01.305 RVM
                          N041.15.27.610 W122.16.01.305 N041.15.25.394 W122.16.06.821 RVM
                          N041.15.25.394 W122.16.06.821 N041.15.24.029 W122.16.12.806 RVM
                          N041.15.24.029 W122.16.12.806 N041.15.23.568 W122.16.19.030 RVM
                          N041.15.23.568 W122.16.19.030 N041.15.24.029 W122.16.25.254 RVM
                          N041.15.24.029 W122.16.25.254 N041.15.25.394 W122.16.31.239 RVM
                          N041.15.25.394 W122.16.31.239 N041.15.27.610 W122.16.36.755 RVM
                          N041.15.27.610 W122.16.36.755 N041.15.30.592 W122.16.41.590 RVM
                          N041.15.30.592 W122.16.41.590 N041.15.34.226 W122.16.45.558 RVM
                          N041.15.34.226 W122.16.45.558 N041.15.38.373 W122.16.48.507 RVM
                          N041.15.38.373 W122.16.48.507 N041.15.42.872 W122.16.50.323 RVM
                          N041.15.42.872 W122.16.50.323 N041.15.47.551 W122.16.50.937 RVM
                          N041.15.47.551 W122.16.50.937 N041.15.52.230 W122.16.50.324 RVM
                          N041.15.52.230 W122.16.50.324 N041.15.56.729 W122.16.48.509 RVM
                          N041.15.56.729 W122.16.48.509 N041.16.00.876 W122.16.45.561 RVM
                          N041.16.00.876 W122.16.45.561 N041.16.04.511 W122.16.41.593 RVM
                          N041.16.04.511 W122.16.41.593 N041.16.07.493 W122.16.36.758 RVM
                          N041.16.07.493 W122.16.36.758 N041.16.09.710 W122.16.31.241 RVM
                          N041.16.09.710 W122.16.31.241 N041.16.11.075 W122.16.25.255 RVM
                          N041.16.11.075 W122.16.25.255 N041.16.11.536 W122.16.19.030 RVM
                          N041.16.10.413 W122.16.09.381 N041.16.21.843 W122.16.04.557 RVM
                          N041.15.40.299 W122.15.48.618 N041.15.36.672 W122.15.33.413 RVM
                          N041.15.24.691 W122.16.28.677 N041.15.13.260 W122.16.33.499 RVM
                          N041.15.54.803 W122.16.49.444 N041.15.58.427 W122.17.04.652 RVM
    ; O46
                          N041.28.53.516 W122.27.11.066 N041.28.53.055 W122.27.04.820 RVM
                          N041.28.53.055 W122.27.04.820 N041.28.51.690 W122.26.58.815 RVM
                          N041.28.51.690 W122.26.58.815 N041.28.49.473 W122.26.53.280 RVM
