((YKM-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.11.15.350 W120.53.00.310 N047.11.15.811 W120.53.07.195 RVM
                          N047.11.15.811 W120.53.07.195 N047.11.17.176 W120.53.13.815 RVM
                          N047.11.17.176 W120.53.13.815 N047.11.19.392 W120.53.19.917 RVM
                          N047.11.19.392 W120.53.19.917 N047.11.22.374 W120.53.25.265 RVM
                          N047.11.22.374 W120.53.25.265 N047.11.26.008 W120.53.29.655 RVM
                          N047.11.26.008 W120.53.29.655 N047.11.30.154 W120.53.32.917 RVM
                          N047.11.30.154 W120.53.32.917 N047.11.34.654 W120.53.34.926 RVM
                          N047.11.34.654 W120.53.34.926 N047.11.39.332 W120.53.35.605 RVM
                          N047.11.39.332 W120.53.35.605 N047.11.44.012 W120.53.34.928 RVM
                          N047.11.44.012 W120.53.34.928 N047.11.48.511 W120.53.32.920 RVM
                          N047.11.48.511 W120.53.32.920 N047.11.52.658 W120.53.29.659 RVM
                          N047.11.52.658 W120.53.29.659 N047.11.56.292 W120.53.25.270 RVM
                          N047.11.56.292 W120.53.25.270 N047.11.59.275 W120.53.19.921 RVM
                          N047.11.59.275 W120.53.19.921 N047.12.01.492 W120.53.13.819 RVM
                          N047.12.01.492 W120.53.13.819 N047.12.02.857 W120.53.07.197 RVM
                          N047.12.02.857 W120.53.07.197 N047.12.03.318 W120.53.00.310 RVM
                          N047.12.03.318 W120.53.00.310 N047.12.15.310 W120.53.00.310 RVM
                          N047.11.39.332 W120.52.25.015 N047.11.39.331 W120.52.07.367 RVM
                          N047.11.15.350 W120.53.00.310 N047.11.03.358 W120.53.00.310 RVM
                          N047.11.39.332 W120.53.35.605 N047.11.39.331 W120.53.53.253 RVM
                          N046.33.55.531 W120.31.52.080 N046.34.21.187 W120.33.34.355 RVM
                          N046.34.21.187 W120.33.34.355 N046.33.55.531 W120.31.52.080 RVM
                          N046.33.50.039 W120.32.53.285 N046.34.09.027 W120.32.05.812 RVM
                          N046.34.09.027 W120.32.05.812 N046.33.50.039 W120.32.53.285 RVM
    ; KYKM 27 centerline
                          N046.33.34.980 W120.30.30.156 N046.33.14.412 W120.29.08.250 RVM
                          N046.32.53.829 W120.27.46.361 N046.32.33.229 W120.26.24.489 RVM
                          N046.32.12.613 W120.25.02.634 N046.31.51.980 W120.23.40.797 RVM
                          N046.31.31.332 W120.22.18.977 N046.31.10.667 W120.20.57.174 RVM
                          N046.30.49.986 W120.19.35.389 N046.30.29.289 W120.18.13.621 RVM
                          N046.30.08.576 W120.16.51.870 N046.29.47.846 W120.15.30.136 RVM
                          N046.29.27.101 W120.14.08.420 N046.29.06.339 W120.12.46.721 RVM
                          N046.28.45.561 W120.11.25.040 N046.28.24.767 W120.10.03.376 RVM
                          N046.28.03.957 W120.08.41.729 N046.27.43.130 W120.07.20.099 RVM
    ; KYKM 27 center cross at OPISE
                          N046.28.54.498 W120.09.34.531 N046.27.49.154 W120.10.09.132 RVM
    ; KYKM 27 center cross at 17.0
                          N046.28.36.628 W120.08.24.427 N046.27.31.284 W120.08.59.025 RVM
    ; YKM VORTAC final approach Full cross at CFBBQ
                          N046.32.32.119 W120.19.27.631 N046.31.29.082 W120.20.10.360 RVM
                          N046.31.59.853 W120.22.05.201 N046.31.55.994 W120.22.02.924 RVM
                          N046.31.55.994 W120.22.02.924 N046.31.52.000 W120.22.01.209 RVM
                          N046.31.52.000 W120.22.01.209 N046.31.47.909 W120.22.00.070 RVM
                          N046.31.47.909 W120.22.00.070 N046.31.43.761 W120.21.59.520 RVM
                          N046.31.43.761 W120.21.59.520 N046.31.39.596 W120.21.59.563 RVM
                          N046.31.39.596 W120.21.59.563 N046.31.35.455 W120.22.00.200 RVM
                          N046.31.35.455 W120.22.00.200 N046.31.31.376 W120.22.01.423 RVM
                          N046.31.31.376 W120.22.01.423 N046.31.27.399 W120.22.03.222 RVM
                          N046.31.27.399 W120.22.03.222 N046.31.23.563 W120.22.05.578 RVM
                          N046.31.23.563 W120.22.05.578 N046.31.19.904 W120.22.08.470 RVM
                          N046.31.19.904 W120.22.08.470 N046.31.16.457 W120.22.11.868 RVM
                          N046.31.16.457 W120.22.11.868 N046.31.13.256 W120.22.15.741 RVM
                          N046.31.13.256 W120.22.15.741 N046.31.10.332 W120.22.20.052 RVM
                          N046.31.10.332 W120.22.20.052 N046.31.07.713 W120.22.24.757 RVM
                          N046.31.07.713 W120.22.24.757 N046.31.05.424 W120.22.29.814 RVM
                          N046.31.05.424 W120.22.29.814 N046.31.03.486 W120.22.35.171 RVM
                          N046.31.03.450 W120.22.35.284 N046.31.07.309 W120.22.37.561 RVM
                          N046.31.07.309 W120.22.37.561 N046.31.11.303 W120.22.39.277 RVM
                          N046.31.11.303 W120.22.39.277 N046.31.15.394 W120.22.40.416 RVM
                          N046.31.15.394 W120.22.40.416 N046.31.19.542 W120.22.40.967 RVM
                          N046.31.19.542 W120.22.40.967 N046.31.23.706 W120.22.40.925 RVM
                          N046.31.23.706 W120.22.40.925 N046.31.27.848 W120.22.40.289 RVM
                          N046.31.27.848 W120.22.40.289 N046.31.31.927 W120.22.39.066 RVM
                          N046.31.31.927 W120.22.39.066 N046.31.35.904 W120.22.37.268 RVM
                          N046.31.35.904 W120.22.37.268 N046.31.39.741 W120.22.34.913 RVM
                          N046.31.39.741 W120.22.34.913 N046.31.43.400 W120.22.32.021 RVM
                          N046.31.43.400 W120.22.32.021 N046.31.46.847 W120.22.28.623 RVM
                          N046.31.46.847 W120.22.28.623 N046.31.50.047 W120.22.24.749 RVM
                          N046.31.50.047 W120.22.24.749 N046.31.52.971 W120.22.20.438 RVM
                          N046.31.52.971 W120.22.20.438 N046.31.55.591 W120.22.15.731 RVM
                          N046.31.55.591 W120.22.15.731 N046.31.57.880 W120.22.10.673 RVM
                          N046.31.57.880 W120.22.10.673 N046.31.59.817 W120.22.05.314 RVM
    ; KYKM 09 centerline
                          N046.34.41.743 W120.34.56.295 N046.35.02.281 W120.36.18.253 RVM
                          N046.35.22.804 W120.37.40.229 N046.35.43.311 W120.39.02.221 RVM
                          N046.36.03.801 W120.40.24.231 N046.36.24.275 W120.41.46.258 RVM
                          N046.36.44.732 W120.43.08.302 N046.37.05.174 W120.44.30.364 RVM
                          N046.37.25.599 W120.45.52.442 N046.37.46.007 W120.47.14.538 RVM
                          N046.38.06.400 W120.48.36.651 N046.38.26.776 W120.49.58.782 RVM
    ; KYKM 09 center cross at BABRE
                          N046.38.01.851 W120.50.47.383 N046.39.07.186 W120.50.12.638 RVM
    ; KYKM 09 center cross at WUDNO
                          N046.36.47.857 W120.45.49.409 N046.37.53.192 W120.45.14.678 RVM
    ; KYKM 09 center cross at ADXAC
                          N046.35.50.791 W120.42.00.346 N046.36.56.126 W120.41.25.625 RVM
    ; YKM VORTAC final approach course 274 from 1.0 to 13.0
                          N046.33.22.162 W120.24.02.640 N046.32.56.784 W120.22.43.644 RVM
                          N046.32.31.391 W120.21.24.670 N046.32.05.983 W120.20.05.715 RVM
                          N046.31.40.560 W120.18.46.782 N046.31.15.122 W120.17.27.868 RVM
                          N046.30.49.669 W120.16.08.976 N046.30.24.201 W120.14.50.104 RVM
                          N046.29.58.717 W120.13.31.252 N046.29.33.219 W120.12.12.421 RVM
                          N046.29.07.706 W120.10.53.610 N046.28.42.177 W120.09.34.820 RVM
    ; YKM VORTAC final approach Full cross at FAYCE
                          N046.29.14.274 W120.09.15.261 N046.28.11.237 W120.09.57.947 RVM
    ; YKM VORTAC final approach Full cross at EMAME
                          N046.33.03.004 W120.21.03.593 N046.31.59.967 W120.21.46.329 RVM
    ; YKM VORTAC final approach Full cross at 10.0
                          N046.30.30.235 W120.13.09.898 N046.29.27.198 W120.13.52.600 RVM
    ; YKM VORTAC final approach Full cross at DMYXI
                          N046.26.20.811 W120.00.21.662 N046.25.17.774 W120.01.04.310 RVM
    ; YKM VORTAC final approach Full cross at DMYYD
