((PSC-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.48.40.044 W119.49.42.412 N045.48.44.191 W119.49.45.592 RVM 
                          N045.48.44.191 W119.49.45.592 N045.48.48.690 W119.49.47.551 RVM 
                          N045.48.48.690 W119.49.47.551 N045.48.53.369 W119.49.48.213 RVM 
                          N045.48.53.369 W119.49.48.213 N045.48.58.048 W119.49.47.553 RVM 
                          N045.48.58.048 W119.49.47.553 N045.49.02.547 W119.49.45.595 RVM 
                          N045.49.02.547 W119.49.45.595 N045.49.06.694 W119.49.42.416 RVM 
                          N045.49.06.694 W119.49.42.416 N045.49.10.328 W119.49.38.136 RVM 
                          N045.49.10.328 W119.49.38.136 N045.49.13.311 W119.49.32.922 RVM 
                          N045.49.13.311 W119.49.32.922 N045.49.15.528 W119.49.26.972 RVM 
                          N045.49.15.528 W119.49.26.972 N045.49.16.893 W119.49.20.516 RVM 
                          N045.49.16.893 W119.49.20.516 N045.49.17.354 W119.49.13.802 RVM 
                          N045.49.17.354 W119.49.13.802 N045.49.29.346 W119.49.13.802 RVM 
                          N045.48.53.369 W119.48.39.391 N045.48.53.367 W119.48.22.185 RVM 
                          N045.48.29.386 W119.49.13.802 N045.48.17.394 W119.49.13.802 RVM 
                          N045.48.53.369 W119.49.48.213 N045.48.53.367 W119.50.05.419 RVM 
    ; 1S8
                          N045.43.23.450 W120.10.04.151 N045.43.22.989 W120.09.57.449 RVM 
                          N045.43.22.989 W120.09.57.449 N045.43.21.624 W120.09.51.004 RVM 
                          N045.43.21.624 W120.09.51.004 N045.43.19.407 W120.09.45.065 RVM 
                          N045.43.19.407 W120.09.45.065 N045.43.16.424 W120.09.39.859 RVM 
                          N045.43.16.424 W120.09.39.859 N045.43.12.790 W120.09.35.588 RVM 
                          N045.43.12.790 W120.09.35.588 N045.43.08.643 W120.09.32.414 RVM 
                          N045.43.08.643 W120.09.32.414 N045.43.04.144 W120.09.30.460 RVM 
                          N045.43.04.144 W120.09.30.460 N045.42.59.465 W120.09.29.801 RVM 
                          N045.42.59.465 W120.09.29.801 N045.42.54.786 W120.09.30.461 RVM 
                          N045.42.54.786 W120.09.30.461 N045.42.50.287 W120.09.32.417 RVM 
                          N045.42.50.287 W120.09.32.417 N045.42.46.140 W120.09.35.592 RVM 
                          N045.42.46.140 W120.09.35.592 N045.42.42.506 W120.09.39.864 RVM 
                          N045.42.42.506 W120.09.39.864 N045.42.39.524 W120.09.45.069 RVM 
                          N045.42.39.524 W120.09.45.069 N045.42.37.308 W120.09.51.007 RVM 
