                          N046.35.57.797 W120.08.31.302 N046.35.48.782 W120.08.31.302 ZSEHO
                          N046.35.57.797 W120.06.34.106 N046.35.48.782 W120.06.22.086 ZSEHO
                          N046.35.57.797 W120.05.43.772 N046.36.42.121 W120.05.43.772 ZSEHO
                          N046.35.57.797 W120.07.42.470 N046.35.48.782 W120.07.29.699 ZSEHO
                          N046.36.06.812 W120.09.08.113 N046.36.15.827 W120.09.08.113 ZSEHO
                          N046.36.06.812 W120.09.58.447 N046.35.48.782 W120.09.45.676 ZSEHO
                          N046.36.15.827 W120.17.04.407 N046.36.15.827 W120.17.54.741 ZSEHO
                          N046.36.15.827 W120.17.54.741 N046.37.18.181 W120.17.23.188 ZSEHO
                          N046.36.15.827 W120.09.58.447 N046.36.06.812 W120.09.58.447 ZSEHO
                          N046.36.15.827 W120.09.08.113 N046.36.33.106 W120.09.26.894 ZSEHO
                          N046.36.24.091 W120.13.46.076 N046.36.24.091 W120.14.24.390 ZSEHO
                          N046.36.33.106 W120.09.39.666 N046.36.15.827 W120.09.58.447 ZSEHO
                          N046.36.33.106 W120.09.26.894 N046.36.33.106 W120.09.39.666 ZSEHO
                          N046.36.33.106 W120.09.26.894 N046.36.51.136 W120.09.08.113 ZSEHO
                          N046.36.33.106 W120.06.34.106 N046.37.18.181 W120.06.34.106 ZSEHO
                          N046.36.33.106 W120.07.42.470 N046.37.18.181 W120.07.42.470 ZSEHO
                          N046.36.42.121 W120.06.52.136 N046.36.42.121 W120.07.04.908 ZSEHO
                          N046.36.42.121 W120.07.04.908 N046.36.42.121 W120.07.29.699 ZSEHO
                          N046.36.42.121 W120.07.29.699 N046.36.33.106 W120.07.42.470 ZSEHO
                          N046.36.42.121 W120.05.43.772 N046.36.42.121 W120.05.56.544 ZSEHO
                          N046.36.42.121 W120.05.56.544 N046.36.42.121 W120.06.22.086 ZSEHO
                          N046.36.42.121 W120.06.22.086 N046.36.33.106 W120.06.34.106 ZSEHO
                          N046.36.51.136 W120.11.00.049 N046.37.18.181 W120.10.41.268 ZSEHO
