                          N046.57.56.053 W119.17.14.564 N046.58.05.068 W119.17.27.335 ZSEHO
                          N046.57.56.053 W119.16.06.200 N046.58.05.068 W119.16.18.971 ZSEHO
                          N046.57.56.995 W120.08.00.500 N046.56.26.845 W120.08.00.500 ZSEHO
                          N046.57.56.995 W120.06.52.888 N046.56.26.845 W120.06.52.888 ZSEHO
                          N046.57.56.995 W120.13.34.056 N046.56.26.845 W120.13.34.056 ZSEHO
                          N046.57.56.995 W120.12.07.662 N046.57.56.995 W120.12.57.996 ZSEHO
                          N046.57.56.995 W120.03.53.338 N046.57.56.995 W120.03.03.004 ZSEHO
                          N046.57.56.995 W120.02.45.726 N046.57.56.995 W120.01.55.392 ZSEHO
                          N046.57.56.995 W120.05.57.295 N046.57.38.965 W120.06.10.066 ZSEHO
                          N046.57.56.995 W120.05.31.752 N046.57.56.995 W120.05.57.295 ZSEHO
                          N046.58.05.068 W119.21.03.696 N046.56.34.918 W119.21.03.696 ZSEHO
                          N046.58.05.068 W119.19.43.312 N046.57.47.038 W119.19.30.541 ZSEHO
                          N046.58.05.068 W119.22.12.060 N046.56.34.918 W119.22.12.060 ZSEHO
                          N046.58.05.068 W119.27.51.626 N046.56.34.918 W119.27.51.626 ZSEHO
                          N046.58.05.068 W119.26.44.013 N046.56.34.918 W119.26.44.013 ZSEHO
                          N046.58.05.068 W119.16.44.514 N046.57.56.053 W119.16.56.534 ZSEHO
                          N046.58.05.068 W119.16.18.971 N046.58.05.068 W119.16.44.514 ZSEHO
                          N046.58.05.068 W119.17.27.335 N046.58.05.068 W119.17.52.127 ZSEHO
                          N046.58.05.068 W119.20.08.103 N046.58.05.068 W119.19.43.312 ZSEHO
                          N046.58.05.068 W119.17.52.127 N046.57.56.053 W119.18.04.898 ZSEHO
                          N047.01.45.376 W121.00.48.530 N047.01.54.391 W121.00.48.530 ZSEHO
                          N047.01.45.376 W121.00.54.540 N047.01.45.376 W121.00.48.530 ZSEHO
                          N047.01.45.376 W121.02.08.914 N047.01.45.376 W121.01.43.372 ZSEHO
                          N047.01.45.376 W121.08.50.834 N047.03.14.775 W121.08.19.282 ZSEHO
                          N047.01.45.376 W121.01.43.372 N047.02.03.406 W121.01.31.352 ZSEHO
