; Bodies of water (2021-04-07)
      N047.48.20.253 W118.01.45.167
      N047.48.25.939 W118.00.51.636
      N047.49.42.980 W118.00.02.609
      N047.49.31.156 W117.59.50.936
      N047.49.03.526 W118.00.21.094
      N047.48.22.327 W118.00.34.799
      N047.47.58.638 W118.01.41.157
      N047.47.35.965 W118.02.11.094
      N047.47.30.870 W118.03.38.518
      N047.47.45.111 W118.04.33.752
      N047.48.25.280 W118.04.56.466
      N047.49.19.346 W118.05.55.078
      N047.49.37.501 W118.05.49.557
      N047.49.53.321 W118.06.42.319
      N047.49.52.374 W118.07.23.573
      N047.50.10.817 W118.07.35.054
      N047.50.18.672 W118.07.10.472
      N047.50.53.513 W118.07.11.653
      N047.51.33.530 W118.07.24.754
      N047.52.00.708 W118.08.02.574
      N047.52.32.431 W118.08.15.978
      N047.52.42.579 W118.08.27.733
      N047.52.34.958 W118.09.06.844
      N047.53.18.656 W118.09.41.671
      N047.53.56.050 W118.10.36.136
      N047.54.46.340 W118.11.08.326
      N047.55.05.099 W118.11.39.225
      N047.56.03.794 W118.12.18.419
      N047.56.27.511 W118.12.49.153
      N047.56.08.024 W118.14.56.182
      N047.56.16.703 W118.15.20.160
      N047.55.53.659 W118.15.30.679
      N047.55.44.334 W118.16.09.846
      N047.55.34.433 W118.16.12.620
      N047.54.54.621 W118.17.55.946
      N047.54.25.508 W118.18.43.077
      N047.53.50.832 W118.18.51.509
      N047.52.52.522 W118.20.20.828
      N047.52.01.339 W118.20.34.671
      N047.51.39.490 W118.20.15.994
      N047.51.23.121 W118.20.28.656
      N047.51.13.013 W118.20.19.290
      N047.51.10.006 W118.20.38.791
      N047.50.49.818 W118.20.20.059
      N047.50.19.112 W118.21.12.025
      N047.49.39.973 W118.21.54.514
      N047.49.30.003 W118.21.52.427
      N047.49.02.894 W118.21.14.524
      N047.49.05.490 W118.20.28.381
      N047.48.52.951 W118.19.22.820
      N047.48.46.250 W118.19.23.589
      N047.48.55.849 W118.20.48.102
      N047.48.51.633 W118.21.36.716
      N047.49.25.553 W118.22.26.512
      N047.49.28.135 W118.23.27.047
      N047.49.41.758 W118.23.50.832
      N047.50.22.408 W118.26.39.307
      N047.50.54.460 W118.27.17.100
      N047.52.22.612 W118.27.36.161
      N047.52.34.573 W118.28.00.029
      N047.52.04.690 W118.29.52.557
      N047.52.10.952 W118.31.22.178
      N047.52.24.960 W118.32.15.132
      N047.52.58.592 W118.32.48.063
      N047.54.09.591 W118.32.26.530
      N047.54.56.338 W118.32.49.382
      N047.55.01.749 W118.33.20.775
      N047.55.11.568 W118.33.10.778
      N047.55.23.405 W118.33.27.422
      N047.55.27.773 W118.34.42.568
      N047.55.04.797 W118.35.00.229
      N047.55.26.440 W118.35.06.876
      N047.55.14.259 W118.38.28.749
      N047.55.25.960 W118.38.35.698
      N047.55.56.859 W118.39.54.992
      N047.55.57.655 W118.40.55.664
      N047.55.46.628 W118.41.39.692
      N047.55.29.887 W118.41.27.991
      N047.55.31.920 W118.41.57.078
      N047.55.12.186 W118.42.09.767
      N047.54.57.148 W118.42.00.483
      N047.54.49.073 W118.42.17.704
      N047.54.24.148 W118.42.13.530
      N047.53.53.002 W118.42.41.105
      N047.53.52.658 W118.44.25.475
      N047.54.23.832 W118.46.11.411
      N047.54.31.069 W118.46.59.778
      N047.54.23.077 W118.47.24.250
      N047.55.09.055 W118.49.02.578
      N047.54.59.345 W118.49.22.244
      N047.55.14.575 W118.49.48.556
      N047.55.46.106 W118.49.50.176
      N047.56.04.549 W118.50.06.738
      N047.56.45.144 W118.51.13.700
      N047.56.57.229 W118.51.54.679
      N047.56.25.822 W118.54.26.043
      N047.56.31.054 W118.54.47.769
      N047.56.16.346 W118.55.07.544
      N047.56.18.365 W118.55.39.075
      N047.55.55.238 W118.55.46.930
      N047.56.18.914 W118.56.27.634
      N047.56.10.468 W118.58.43.810
      N047.56.15.893 W118.59.24.981
      N047.56.29.310 W118.59.39.236
      N047.57.02.118 W118.59.06.909
      N047.57.38.578 W118.59.03.613
      N047.57.41.572 W118.58.34.389
      N047.57.21.563 W118.58.25.161
      N047.56.54.537 W118.57.39.650
      N047.56.50.211 W118.56.09.864
      N047.57.01.692 W118.55.57.449
      N047.57.20.753 W118.54.44.116
      N047.57.13.736 W118.54.10.278
      N047.57.23.459 W118.53.50.612
      N047.57.27.620 W118.52.40.080
      N047.57.45.280 W118.51.51.026
      N047.57.56.788 W118.49.22.546
      N047.57.03.450 W118.48.59.639
      N047.57.01.527 W118.48.37.804
      N047.56.27.030 W118.49.05.407
      N047.55.45.309 W118.48.44.643
      N047.55.19.299 W118.47.10.627
      N047.55.04.784 W118.45.29.059
      N047.54.48.043 W118.45.17.358
      N047.54.27.609 W118.44.34.237
      N047.54.27.087 W118.43.52.956
      N047.54.46.574 W118.43.20.876
      N047.54.29.971 W118.43.18.926
      N047.54.54.429 W118.42.46.681
      N047.55.11.375 W118.43.15.355
      N047.55.35.930 W118.42.50.389
      N047.55.54.346 W118.43.04.451
      N047.56.31.727 W118.42.05.153
      N047.56.44.361 W118.41.16.208
      N047.57.54.467 W118.41.50.706
      N047.58.45.664 W118.41.34.693
      N047.59.06.936 W118.41.12.226
      N048.00.16.644 W118.41.15.137
      N048.01.30.500 W118.40.14.713
      N048.02.41.870 W118.40.17.542
      N048.03.09.926 W118.40.04.605
      N048.03.39.891 W118.40.13.477
      N048.03.18.042 W118.39.52.218
      N048.02.48.091 W118.39.45.764
      N048.02.16.739 W118.39.58.810
      N048.01.10.367 W118.39.58.260
      N048.00.02.966 W118.40.43.909
      N047.59.33.083 W118.40.42.316
      N047.59.19.639 W118.40.28.116
      N047.58.41.626 W118.40.38.910
      N047.58.15.410 W118.41.03.959
      N047.57.08.792 W118.40.41.519
      N047.56.56.803 W118.40.12.708
      N047.57.01.541 W118.39.55.569
      N047.56.29.859 W118.39.41.891
      N047.56.14.094 W118.38.39.186
      N047.56.25.313 W118.38.09.716
      N047.56.10.358 W118.38.07.711
      N047.55.55.046 W118.37.39.009
      N047.55.51.009 W118.36.45.698
      N047.56.03.712 W118.36.04.059
      N047.55.50.185 W118.35.45.026
      N047.56.03.148 W118.35.22.778
      N047.55.57.903 W118.35.03.525
      N047.56.11.677 W118.33.40.551
      N047.56.05.854 W118.32.40.016
      N047.55.54.153 W118.32.33.067
      N047.56.00.306 W118.31.58.900
      N047.55.43.936 W118.32.13.951
      N047.54.32.141 W118.31.39.728
      N047.53.37.552 W118.31.48.655
      N047.53.33.927 W118.31.26.929
      N047.53.24.424 W118.31.58.762
      N047.52.55.941 W118.31.37.778
      N047.52.42.099 W118.30.56.964
      N047.52.37.745 W118.29.44.262
      N047.52.47.509 W118.29.31.848
      N047.53.00.624 W118.27.27.675
      N047.52.41.934 W118.26.56.721
      N047.51.47.208 W118.26.56.034
      N047.51.05.419 W118.26.33.100
      N047.50.32.954 W118.25.28.638
      N047.50.24.976 W118.23.59.182
      N047.50.53.403 W118.22.26.072
      N047.51.52.413 W118.21.40.479
      N047.52.53.538 W118.21.26.307
      N047.53.26.305 W118.21.00.983
      N047.56.01.020 W118.21.32.267
      N047.56.19.587 W118.21.53.553
      N047.56.12.652 W118.21.34.327
      N047.56.52.505 W118.21.37.870
      N047.57.02.269 W118.21.25.400
      N047.57.30.668 W118.21.39.051
      N047.57.52.037 W118.21.26.197
      N047.59.33.070 W118.23.04.937
      N048.01.27.067 W118.24.23.901
      N048.02.24.196 W118.23.21.251
      N048.02.38.340 W118.22.29.698
      N048.03.01.219 W118.22.07.066
      N048.03.08.690 W118.21.13.288
      N048.03.00.917 W118.18.13.469
      N048.03.14.225 W118.18.15.474
      N048.03.16.422 W118.18.49.477
      N048.03.23.082 W118.18.51.702
      N048.03.27.642 W118.18.24.758
      N048.03.01.741 W118.17.19.938
      N048.03.09.363 W118.16.38.300
      N048.03.49.889 W118.15.38.507
      N048.03.54.311 W118.15.04.285
      N048.04.04.542 W118.15.20.984
      N048.04.09.088 W118.14.54.040
      N048.04.22.546 W118.15.05.740
      N048.05.17.244 W118.15.01.401
      N048.05.53.966 W118.15.14.749
      N048.05.55.888 W118.15.31.723
      N048.08.31.427 W118.15.01.978
      N048.08.15.937 W118.14.28.387
      N048.08.15.387 W118.13.54.302
      N048.08.50.255 W118.12.13.173
      N048.09.06.638 W118.12.00.428
      N048.10.47.850 W118.11.56.803
      N048.11.51.214 W118.12.14.079
      N048.12.34.033 W118.11.53.040
      N048.13.21.384 W118.11.05.002
      N048.13.56.829 W118.10.00.293
      N048.14.47.311 W118.08.59.896
      N048.15.15.765 W118.09.13.519
      N048.15.45.099 W118.08.40.724
      N048.17.05.615 W118.09.29.064
      N048.17.32.628 W118.09.54.937
      N048.17.51.661 W118.10.40.668
      N048.18.24.854 W118.10.39.459
      N048.18.11.052 W118.11.48.371
      N048.18.36.966 W118.11.08.381
      N048.21.11.791 W118.11.29.722
      N048.21.33.173 W118.11.16.730
      N048.22.01.683 W118.11.32.825
      N048.22.36.537 W118.11.31.562
      N048.23.38.500 W118.12.01.143
      N048.24.32.388 W118.12.45.692
      N048.25.30.643 W118.12.50.993
      N048.25.59.235 W118.13.12.004
      N048.26.47.561 W118.13.20.079
      N048.27.52.050 W118.13.00.661
