SEA TEXT DIAGRAM          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.26.01.725 W122.18.11.305 N047.26.01.685 W122.18.11.090
                          N047.26.01.725 W122.18.12.982 N047.26.01.789 W122.18.12.807
                          N047.26.01.741 W122.18.13.685 N047.26.01.693 W122.18.13.486
                          N047.26.01.757 W122.18.10.491 N047.26.01.829 W122.18.10.323
                          N047.26.01.789 W122.18.12.807 N047.26.01.893 W122.18.12.639
                          N047.26.01.797 W122.18.11.481 N047.26.01.725 W122.18.11.305
                          N047.26.01.805 W122.18.13.861 N047.26.01.741 W122.18.13.685
                          N047.26.01.829 W122.18.10.323 N047.26.01.948 W122.18.10.179
                          N047.26.01.893 W122.18.11.633 N047.26.01.797 W122.18.11.481
                          N047.26.01.893 W122.18.12.639 N047.26.02.028 W122.18.12.511
                          N047.26.01.908 W122.18.14.013 N047.26.01.805 W122.18.13.861
                          N047.26.01.948 W122.18.10.179 N047.26.02.076 W122.18.10.092
                          N047.26.01.996 W122.18.11.737 N047.26.01.893 W122.18.11.633
                          N047.26.02.028 W122.18.12.511 N047.26.02.196 W122.18.12.439
                          N047.26.02.036 W122.18.14.124 N047.26.01.908 W122.18.14.013
                          N047.26.02.076 W122.18.10.092 N047.26.02.220 W122.18.10.052
                          N047.26.02.132 W122.18.11.809 N047.26.01.996 W122.18.11.737
                          N047.26.02.188 W122.18.14.188 N047.26.02.036 W122.18.14.124
                          N047.26.02.196 W122.18.12.439 N047.26.02.324 W122.18.12.415
                          N047.26.02.220 W122.18.10.052 N047.26.02.332 W122.18.10.052
                          N047.26.02.244 W122.18.11.840 N047.26.02.132 W122.18.11.809
                          N047.26.02.324 W122.18.12.415 N047.26.02.475 W122.18.12.439
                          N047.26.02.332 W122.18.10.052 N047.26.02.444 W122.18.10.076
                          N047.26.02.340 W122.18.14.204 N047.26.02.188 W122.18.14.188
                          N047.26.02.404 W122.18.11.840 N047.26.02.244 W122.18.11.840
                          N047.26.02.444 W122.18.10.076 N047.26.02.595 W122.18.10.155
                          N047.26.02.475 W122.18.12.439 N047.26.02.611 W122.18.12.519
                          N047.26.02.507 W122.18.14.172 N047.26.02.340 W122.18.14.204
                          N047.26.02.563 W122.18.11.769 N047.26.02.404 W122.18.11.840
                          N047.26.02.595 W122.18.10.155 N047.26.02.715 W122.18.10.275
                          N047.26.02.611 W122.18.12.519 N047.26.02.739 W122.18.12.647
                          N047.26.02.651 W122.18.14.077 N047.26.02.507 W122.18.14.172
                          N047.26.02.683 W122.18.11.657 N047.26.02.563 W122.18.11.769
                          N047.26.02.715 W122.18.10.275 N047.26.02.819 W122.18.10.475
                          N047.26.02.739 W122.18.12.647 N047.26.02.835 W122.18.12.839
                          N047.26.02.771 W122.18.13.925 N047.26.02.651 W122.18.14.077
                          N047.26.02.779 W122.18.11.513 N047.26.02.683 W122.18.11.657
                          N047.26.02.819 W122.18.10.475 N047.26.02.883 W122.18.10.659
                          N047.26.02.835 W122.18.12.839 N047.26.02.899 W122.18.13.022
                          N047.26.02.859 W122.18.11.329 N047.26.02.779 W122.18.11.513
                          N047.26.02.867 W122.18.13.709 N047.26.02.771 W122.18.13.925
                          N047.26.02.883 W122.18.10.659 N047.26.02.915 W122.18.10.882
