- S46 LABELS              N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.04.15.998 W122.34.40.919 N047.04.15.960 W122.34.40.805
                          N047.04.16.016 W122.34.41.194 N047.04.16.124 W122.34.41.208
                          N047.04.16.042 W122.34.40.598 N047.04.16.103 W122.34.40.551
                          N047.04.16.044 W122.34.40.980 N047.04.15.998 W122.34.40.919
                          N047.04.16.103 W122.34.40.551 N047.04.16.210 W122.34.40.567
                          N047.04.16.124 W122.34.41.208 N047.04.16.170 W122.34.41.268
                          N047.04.16.170 W122.34.41.268 N047.04.16.207 W122.34.41.383
                          N047.04.16.182 W122.34.38.546 N047.04.16.247 W122.34.38.483
                          N047.04.16.182 W122.34.38.741 N047.04.16.182 W122.34.38.546
                          N047.04.16.182 W122.34.38.741 N047.04.16.182 W122.34.38.741
                          N047.04.16.193 W122.34.41.490 N047.04.16.438 W122.34.41.306
                          N047.04.16.207 W122.34.41.383 N047.04.16.193 W122.34.41.490
                          N047.04.16.210 W122.34.40.567 N047.04.16.256 W122.34.40.628
                          N047.04.16.247 W122.34.38.483 N047.04.16.440 W122.34.38.480
                          N047.04.16.256 W122.34.40.628 N047.04.16.296 W122.34.40.742
                          N047.04.16.282 W122.34.40.849 N047.04.16.524 W122.34.40.663
                          N047.04.16.296 W122.34.40.742 N047.04.16.282 W122.34.40.849
                          N047.04.16.438 W122.34.41.306 N047.04.16.394 W122.34.41.627
                          N047.04.16.440 W122.34.38.480 N047.04.16.506 W122.34.38.546
                          N047.04.16.506 W122.34.38.739 N047.04.16.182 W122.34.38.741
                          N047.04.16.506 W122.34.38.546 N047.04.16.506 W122.34.38.739
                          N047.04.16.524 W122.34.40.663 N047.04.16.480 W122.34.40.984
                          N047.04.17.754 W122.34.49.572 N047.04.17.754 W122.34.49.255
                          N047.04.17.952 W122.34.49.572 N047.04.17.952 W122.34.49.334
                          N047.04.18.150 W122.34.49.570 N047.04.17.754 W122.34.49.572
                          N047.04.18.150 W122.34.49.253 N047.04.18.150 W122.34.49.570
                          N047.04.27.066 W122.34.36.703 N047.04.27.390 W122.34.36.831
                          N047.04.27.229 W122.34.36.766 N047.04.27.229 W122.34.36.897
                          N047.04.27.390 W122.34.36.831 N047.04.27.068 W122.34.36.962
                          N047.04.30.350 W122.34.53.786 N047.04.30.348 W122.34.53.469
                          N047.04.30.548 W122.34.53.783 N047.04.30.548 W122.34.53.546
