                          N047.41.29.000 W123.43.35.000 N047.41.29.000 W124.33.05.000
                          N047.41.29.000 W124.33.05.000 N047.42.59.070 W124.32.16.110
                          N047.42.59.070 W124.32.16.110 N047.50.00.800 W124.37.07.600
                          N047.50.00.800 W124.37.07.600 N047.51.27.630 W124.39.48.850
                          N047.51.27.630 W124.39.48.850 N047.53.31.670 W124.42.11.490
                          N047.53.31.670 W124.42.11.490 N047.55.10.900 W124.42.36.300
                          N047.55.10.900 W124.42.36.300 N047.57.39.750 W124.44.27.930
                          N047.57.39.750 W124.44.27.930 N048.02.18.830 W124.45.11.350
                          N048.02.18.830 W124.45.11.350 N048.03.45.660 W124.46.00.960
                          N048.03.45.660 W124.46.00.960 N048.05.12.490 W124.45.48.560
                          N048.05.12.490 W124.45.48.560 N048.07.16.520 W124.46.44.370
                          N048.07.16.520 W124.46.44.370 N048.08.59.000 W124.48.05.000
                          N047.04.34.000 W122.41.09.000 N047.03.07.000 W122.41.09.000
                          N047.03.07.000 W122.41.09.000 N046.52.49.000 W122.44.11.000
                          N046.52.49.000 W122.44.11.000 N046.54.22.000 W122.47.11.000
                          N046.54.22.000 W122.47.11.000 N046.59.46.000 W122.47.04.000
                          N046.59.46.000 W122.47.04.000 N047.04.20.000 W122.42.19.000
                          N047.04.20.000 W122.42.19.000 N047.04.34.000 W122.41.09.000
                          N047.03.37.000 W122.35.40.000 N046.54.49.000 W122.35.30.000
                          N046.54.49.000 W122.35.30.000 N046.54.10.000 W122.39.16.000
                          N046.54.10.000 W122.39.16.000 N046.52.49.000 W122.42.09.000
                          N046.52.49.000 W122.42.09.000 N046.52.49.000 W122.44.11.000
                          N046.52.49.000 W122.44.11.000 N047.03.07.000 W122.41.09.000
                          N047.03.07.000 W122.41.09.000 N047.04.34.000 W122.41.09.000
                          N047.04.34.000 W122.41.09.000 N047.04.41.000 W122.38.19.000
                          N047.04.41.000 W122.38.19.000 N047.03.37.000 W122.35.40.000
                          N047.01.47.000 W122.31.42.000 N047.00.59.000 W122.31.41.000
                          N047.00.59.000 W122.31.41.000 N046.59.42.000 W122.32.36.000
                          N046.59.42.000 W122.32.36.000 N046.56.32.000 W122.33.13.000
                          N046.56.32.000 W122.33.13.000 N046.56.06.000 W122.34.15.000
                          N046.56.06.000 W122.34.15.000 N046.54.49.000 W122.35.30.000
                          N046.54.49.000 W122.35.30.000 N047.03.37.000 W122.35.40.000
                          N047.03.37.000 W122.35.40.000 N047.01.47.000 W122.31.42.000
                          N049.00.00.000 W119.00.04.000 N049.00.00.000 W117.23.04.000
                          N049.00.00.000 W117.23.04.000 N049.00.00.000 W116.48.04.000
                          N049.00.00.000 W116.48.04.000 N048.22.00.000 W117.28.04.000
                          N048.22.00.000 W117.28.04.000 N048.22.00.000 W118.06.04.000
                          N048.22.00.000 W118.06.04.000 N048.19.30.000 W118.14.34.000
                          N048.19.30.000 W118.14.34.000 N048.03.30.000 W119.00.04.000
                          N048.03.30.000 W119.00.04.000 N049.00.00.000 W119.00.04.000
                          N048.03.30.000 W119.00.04.000 N049.00.00.000 W119.00.04.000
                          N049.00.00.000 W119.00.04.000 N049.00.00.000 W117.23.04.000
                          N049.00.00.000 W117.23.04.000 N048.56.30.000 W117.23.04.000
                          N048.56.30.000 W117.23.04.000 N048.47.60.000 W117.28.04.000
                          N048.47.60.000 W117.28.04.000 N048.43.60.000 W117.27.34.000
                          N048.43.60.000 W117.27.34.000 N048.37.60.000 W117.25.04.000
                          N048.37.60.000 W117.25.04.000 N048.37.60.000 W118.10.34.000
                          N048.37.60.000 W118.10.34.000 N048.34.00.000 W118.11.04.000
                          N048.34.00.000 W118.11.04.000 N048.30.00.000 W118.15.04.000
                          N048.30.00.000 W118.15.04.000 N048.25.00.000 W118.16.34.000
                          N048.25.00.000 W118.16.34.000 N048.19.30.000 W118.14.34.000
                          N048.19.30.000 W118.14.34.000 N048.03.30.000 W119.00.04.000
                          N047.46.31.000 W122.46.12.000 N047.46.29.000 W122.41.31.000
                          N047.46.29.000 W122.41.31.000 N047.41.42.000 W122.41.27.000
                          N047.41.42.000 W122.41.27.000 N047.41.40.000 W122.44.11.000
                          N047.41.40.000 W122.44.11.000 N047.43.19.000 W122.46.09.000
                          N047.43.19.000 W122.46.09.000 N047.46.31.000 W122.46.12.000
                          N045.48.54.000 W119.41.07.000 N045.47.59.000 W119.37.34.000
                          N045.47.59.000 W119.37.34.000 N045.46.14.000 W119.35.04.000
                          N045.46.14.000 W119.35.04.000 N045.46.49.000 W119.31.34.000
                          N045.46.49.000 W119.31.34.000 N045.47.29.000 W119.23.04.000
                          N045.47.29.000 W119.23.04.000 N045.44.59.000 W119.22.34.000
                          N045.44.59.000 W119.22.34.000 N045.42.14.000 W119.24.49.000
                          N045.42.14.000 W119.24.49.000 N045.41.44.000 W119.30.34.000
                          N045.41.44.000 W119.30.34.000 N045.41.29.000 W119.35.04.000
                          N045.41.29.000 W119.35.04.000 N045.39.14.000 W119.37.34.000
                          N045.39.14.000 W119.37.34.000 N045.38.59.000 W119.43.54.000
                          N045.38.59.000 W119.43.54.000 N045.37.24.000 W119.46.49.000
                          N045.37.24.000 W119.46.49.000 N045.36.29.000 W119.48.19.000
                          N045.36.29.000 W119.48.19.000 N045.36.44.000 W119.51.34.000
                          N045.36.44.000 W119.51.34.000 N045.40.14.000 W119.55.04.000
                          N045.40.14.000 W119.55.04.000 N045.40.44.000 W119.54.04.000
                          N045.40.44.000 W119.54.04.000 N045.40.44.000 W120.02.34.000
                          N045.40.44.000 W120.02.34.000 N045.46.44.000 W120.02.34.000
                          N045.46.44.000 W120.02.34.000 N045.46.54.000 W119.51.04.000
                          N045.46.54.000 W119.51.04.000 N045.46.59.000 W119.47.04.000
                          N045.46.59.000 W119.47.04.000 N045.47.59.000 W119.45.04.000
                          N045.47.59.000 W119.45.04.000 N045.48.54.000 W119.41.07.000
                          N045.40.33.000 W120.02.32.000 N045.40.39.000 W120.09.04.000
                          N045.40.39.000 W120.09.04.000 N045.45.29.000 W120.09.04.000
                          N045.45.29.000 W120.09.04.000 N045.46.42.910 W120.04.29.650
                          N045.46.42.910 W120.04.29.650 N045.48.05.070 W120.00.56.660
