                          N041.00.07.322 W124.11.27.220 N041.00.11.223 W124.11.25.199 classEsfc
                          N041.00.11.223 W124.11.25.199 N041.00.15.097 W124.11.23.088 classEsfc
                          N041.00.15.097 W124.11.23.088 N041.00.18.943 W124.11.20.889 classEsfc
                          N041.00.18.943 W124.11.20.889 N041.00.22.759 W124.11.18.601 classEsfc
                          N041.00.22.759 W124.11.18.601 N041.00.26.544 W124.11.16.226 classEsfc
                          N041.00.26.544 W124.11.16.226 N041.00.30.297 W124.11.13.764 classEsfc
                          N041.00.30.297 W124.11.13.764 N041.00.34.017 W124.11.11.215 classEsfc
                          N041.00.34.017 W124.11.11.215 N041.00.37.703 W124.11.08.581 classEsfc
                          N041.00.37.703 W124.11.08.581 N041.00.41.353 W124.11.05.863 classEsfc
                          N041.00.41.353 W124.11.05.863 N041.00.44.967 W124.11.03.061 classEsfc
                          N041.00.44.967 W124.11.03.061 N041.00.48.543 W124.11.00.176 classEsfc
                          N041.00.48.543 W124.11.00.176 N041.00.52.080 W124.10.57.209 classEsfc
                          N041.00.52.080 W124.10.57.209 N041.00.55.578 W124.10.54.160 classEsfc
                          N041.00.55.578 W124.10.54.160 N041.00.59.035 W124.10.51.032 classEsfc
                          N041.00.59.035 W124.10.51.032 N041.01.02.450 W124.10.47.824 classEsfc
                          N041.01.02.450 W124.10.47.824 N041.01.05.821 W124.10.44.538 classEsfc
                          N041.01.05.821 W124.10.44.538 N041.01.09.149 W124.10.41.175 classEsfc
                          N041.01.09.149 W124.10.41.175 N041.01.12.432 W124.10.37.735 classEsfc
                          N041.01.12.432 W124.10.37.735 N041.01.15.669 W124.10.34.221 classEsfc
                          N041.01.15.669 W124.10.34.221 N041.01.18.859 W124.10.30.632 classEsfc
                          N041.01.18.859 W124.10.30.632 N041.01.22.002 W124.10.26.970 classEsfc
                          N041.01.22.002 W124.10.26.970 N041.01.25.095 W124.10.23.236 classEsfc
                          N041.01.25.095 W124.10.23.236 N041.01.28.138 W124.10.19.431 classEsfc
                          N041.01.28.138 W124.10.19.431 N041.01.31.131 W124.10.15.557 classEsfc
                          N041.01.31.131 W124.10.15.557 N041.01.34.071 W124.10.11.614 classEsfc
                          N041.01.34.071 W124.10.11.614 N041.01.36.960 W124.10.07.604 classEsfc
                          N041.01.36.960 W124.10.07.604 N041.01.39.794 W124.10.03.527 classEsfc
                          N041.01.39.794 W124.10.03.527 N041.01.42.575 W124.09.59.386 classEsfc
                          N041.01.42.575 W124.09.59.386 N041.01.45.300 W124.09.55.182 classEsfc
                          N041.01.45.300 W124.09.55.182 N041.01.47.969 W124.09.50.915 classEsfc
                          N041.01.47.969 W124.09.50.915 N041.01.50.582 W124.09.46.588 classEsfc
                          N041.01.50.582 W124.09.46.588 N041.01.53.136 W124.09.42.200 classEsfc
                          N041.01.53.136 W124.09.42.200 N041.01.55.633 W124.09.37.755 classEsfc
                          N041.01.55.633 W124.09.37.755 N041.01.58.070 W124.09.33.252 classEsfc
                          N041.01.58.070 W124.09.33.252 N041.02.00.447 W124.09.28.694 classEsfc
                          N041.02.00.447 W124.09.28.694 N041.02.02.763 W124.09.24.081 classEsfc
                          N041.02.02.763 W124.09.24.081 N041.02.05.019 W124.09.19.416 classEsfc
                          N041.02.05.019 W124.09.19.416 N041.02.07.212 W124.09.14.700 classEsfc
                          N041.02.07.212 W124.09.14.700 N041.02.09.342 W124.09.09.934 classEsfc
                          N041.02.09.342 W124.09.09.934 N041.02.11.409 W124.09.05.119 classEsfc
                          N041.02.11.409 W124.09.05.119 N041.02.13.413 W124.09.00.257 classEsfc
                          N041.02.13.413 W124.09.00.257 N041.02.15.351 W124.08.55.350 classEsfc
                          N041.02.15.351 W124.08.55.350 N041.02.17.224 W124.08.50.398 classEsfc
                          N041.02.17.224 W124.08.50.398 N041.02.19.032 W124.08.45.404 classEsfc
                          N041.02.19.032 W124.08.45.404 N041.02.20.773 W124.08.40.369 classEsfc
                          N041.02.20.773 W124.08.40.369 N041.02.22.447 W124.08.35.295 classEsfc
                          N041.02.22.447 W124.08.35.295 N041.02.24.054 W124.08.30.183 classEsfc
