BFI LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.31.37.930 W122.17.56.774 N047.31.37.785 W122.17.56.830
                          N047.31.37.958 W122.17.57.253 N047.31.38.056 W122.17.57.295
                          N047.31.37.986 W122.17.57.738 N047.31.37.403 W122.17.57.724
                          N047.31.37.986 W122.17.56.913 N047.31.37.902 W122.17.57.114
                          N047.31.38.056 W122.17.57.295 N047.31.38.200 W122.17.57.239
                          N047.31.38.125 W122.17.56.857 N047.31.37.986 W122.17.56.913
                          N047.31.38.200 W122.17.57.239 N047.31.38.284 W122.17.57.044
                          N047.31.38.228 W122.17.56.899 N047.31.37.930 W122.17.56.774
                          N047.31.38.284 W122.17.57.044 N047.31.38.228 W122.17.56.899
                          N047.31.41.219 W122.18.08.685 N047.31.41.275 W122.18.08.573
                          N047.31.41.219 W122.18.09.007 N047.31.41.219 W122.18.08.685
                          N047.31.41.275 W122.18.08.573 N047.31.41.489 W122.18.08.573
                          N047.31.41.489 W122.18.08.573 N047.31.41.545 W122.18.08.685
                          N047.31.41.545 W122.18.08.685 N047.31.41.596 W122.18.08.629
                          N047.31.41.545 W122.18.09.007 N047.31.41.545 W122.18.08.685
                          N047.31.41.596 W122.18.08.629 N047.31.41.708 W122.18.08.629
                          N047.31.41.708 W122.18.08.629 N047.31.41.759 W122.18.08.685
                          N047.31.41.759 W122.18.09.007 N047.31.41.219 W122.18.09.007
                          N047.31.41.759 W122.18.08.685 N047.31.41.759 W122.18.09.007
                          N047.31.44.074 W122.17.54.887 N047.31.44.615 W122.17.55.101
                          N047.31.44.261 W122.18.00.319 N047.31.44.302 W122.18.00.221
                          N047.31.44.265 W122.18.00.440 N047.31.44.261 W122.18.00.319
                          N047.31.44.298 W122.18.00.514 N047.31.44.265 W122.18.00.440
                          N047.31.44.302 W122.18.00.221 N047.31.44.396 W122.18.00.142
                          N047.31.44.344 W122.17.54.994 N047.31.44.344 W122.17.55.208
                          N047.31.44.396 W122.18.00.142 N047.31.44.465 W122.18.00.114
                          N047.31.44.452 W122.17.59.876 N047.31.44.549 W122.17.59.918
                          N047.31.44.465 W122.18.00.114 N047.31.44.563 W122.18.00.156
                          N047.31.44.549 W122.17.59.918 N047.31.44.969 W122.17.59.625
                          N047.31.44.559 W122.18.00.449 N047.31.44.843 W122.18.00.333
                          N047.31.44.563 W122.18.00.156 N047.31.44.591 W122.18.00.230
                          N047.31.44.591 W122.18.00.230 N047.31.44.601 W122.18.00.347
                          N047.31.44.601 W122.18.00.347 N047.31.44.559 W122.18.00.449
                          N047.31.44.615 W122.17.55.101 N047.31.44.074 W122.17.55.316
                          N047.31.44.619 W122.17.59.475 N047.31.44.452 W122.17.59.876
                          N047.31.44.726 W122.18.03.109 N047.31.45.141 W122.18.03.524
                          N047.31.44.843 W122.18.00.333 N047.31.44.712 W122.18.00.631
                          N047.31.44.857 W122.18.02.816 N047.31.44.941 W122.18.02.615
                          N047.31.44.875 W122.17.58.879 N047.31.45.080 W122.17.59.089
                          N047.31.44.913 W122.18.02.955 N047.31.44.857 W122.18.02.816
                          N047.31.44.931 W122.18.03.319 N047.31.44.847 W122.18.03.514
                          N047.31.44.941 W122.18.02.615 N047.31.45.080 W122.18.02.559
                          N047.31.44.955 W122.17.59.382 N047.31.45.080 W122.17.59.089
                          N047.31.44.959 W122.18.02.979 N047.31.44.913 W122.18.02.955
                          N047.31.44.969 W122.17.59.625 N047.31.45.066 W122.17.59.666
                          N047.31.44.992 W122.17.59.988 N047.31.44.899 W122.18.00.067
                          N047.31.45.066 W122.17.59.666 N047.31.45.076 W122.17.59.788
                          N047.31.45.076 W122.17.59.788 N047.31.44.992 W122.17.59.988
                          N047.31.45.080 W122.18.02.559 N047.31.45.132 W122.18.02.578
                          N047.31.45.080 W122.17.59.089 N047.31.45.174 W122.17.59.010
                          N047.31.45.122 W122.18.02.871 N047.31.44.959 W122.18.02.979
                          N047.31.45.132 W122.18.02.578 N047.31.45.169 W122.18.02.769
                          N047.31.45.141 W122.18.03.524 N047.31.44.559 W122.18.03.510
                          N047.31.45.160 W122.18.03.062 N047.31.45.122 W122.18.02.871
                          N047.31.45.169 W122.18.02.769 N047.31.45.122 W122.18.02.871
                          N047.31.45.169 W122.18.02.769 N047.31.45.327 W122.18.02.662
                          N047.31.45.174 W122.17.59.010 N047.31.45.323 W122.17.59.070
                          N047.31.45.202 W122.17.59.489 N047.31.44.708 W122.17.59.280
                          N047.31.45.211 W122.18.03.081 N047.31.45.160 W122.18.03.062
                          N047.31.45.323 W122.17.59.070 N047.31.45.327 W122.17.59.191
                          N047.31.45.327 W122.18.02.662 N047.31.45.379 W122.18.02.685
                          N047.31.45.327 W122.17.59.191 N047.31.45.202 W122.17.59.489
                          N047.31.45.351 W122.18.03.025 N047.31.45.211 W122.18.03.081
                          N047.31.45.379 W122.18.02.685 N047.31.45.434 W122.18.02.825
                          N047.31.45.434 W122.18.02.825 N047.31.45.351 W122.18.03.025
                          N047.31.47.307 W122.18.11.825 N047.31.47.438 W122.18.11.527
                          N047.31.47.438 W122.18.11.527 N047.31.47.531 W122.18.11.447
                          N047.31.47.531 W122.18.11.447 N047.31.47.726 W122.18.11.536
                          N047.31.47.605 W122.18.11.951 N047.31.47.736 W122.18.11.652
                          N047.31.47.712 W122.18.11.294 N047.31.48.164 W122.18.11.191
                          N047.31.47.726 W122.18.11.536 N047.31.47.736 W122.18.11.652
                          N047.31.47.736 W122.18.11.652 N047.31.47.806 W122.18.11.625
                          N047.31.47.806 W122.18.12.039 N047.31.47.307 W122.18.11.825
                          N047.31.47.806 W122.18.11.625 N047.31.47.903 W122.18.11.666
                          N047.31.47.880 W122.18.10.898 N047.31.47.712 W122.18.11.294
                          N047.31.47.903 W122.18.11.666 N047.31.47.931 W122.18.11.741
                          N047.31.47.931 W122.18.11.741 N047.31.47.806 W122.18.12.039
                          N047.31.48.164 W122.18.11.191 N047.31.47.670 W122.18.10.982
                          N047.31.49.161 W122.18.07.050 N047.31.49.571 W122.18.07.460
                          N047.31.49.310 W122.18.06.701 N047.31.49.911 W122.18.06.663
