PDX LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N000.00.00.000
                          N000.00.00.000
                          N045.35.03.119 W122.35.56.470 N045.35.03.119 W122.35.56.349
                          N045.35.03.120 W122.35.31.113 N045.35.02.831 W122.35.31.257
                          N045.35.03.166 W122.35.31.453 N045.35.03.194 W122.35.31.379
                          N045.35.03.171 W122.35.30.969 N045.35.03.120 W122.35.31.113
                          N045.35.03.194 W122.35.31.379 N045.35.03.288 W122.35.31.332
                          N045.35.03.217 W122.35.56.661 N045.35.03.119 W122.35.56.470
                          N045.35.03.288 W122.35.31.332 N045.35.03.362 W122.35.31.355
                          N045.35.03.311 W122.35.31.742 N045.35.03.166 W122.35.31.453
                          N045.35.03.315 W122.35.56.735 N045.35.03.217 W122.35.56.661
                          N045.35.03.362 W122.35.56.228 N045.35.03.413 W122.35.56.325
                          N045.35.03.362 W122.35.31.355 N045.35.03.506 W122.35.31.644
                          N045.35.03.408 W122.35.57.047 N045.35.03.459 W122.35.56.903
                          N045.35.03.413 W122.35.56.325 N045.35.03.506 W122.35.56.516
                          N045.35.03.506 W122.35.57.243 N045.35.03.408 W122.35.57.047
                          N045.35.03.506 W122.35.56.638 N045.35.03.748 W122.35.56.521
                          N045.35.03.506 W122.35.56.516 N045.35.03.506 W122.35.56.638
                          N045.35.03.506 W122.35.31.644 N045.35.03.022 W122.35.31.886
                          N045.35.03.650 W122.35.57.290 N045.35.03.506 W122.35.57.243
                          N045.35.03.748 W122.35.56.759 N045.35.03.893 W122.35.56.810
                          N045.35.03.748 W122.35.56.521 N045.35.03.557 W122.35.56.134
                          N045.35.03.893 W122.35.56.810 N045.35.03.990 W122.35.57.001
                          N045.35.03.939 W122.35.57.145 N045.35.03.650 W122.35.57.290
                          N045.35.03.990 W122.35.57.001 N045.35.03.939 W122.35.57.145
                          N045.35.05.132 W122.34.23.916 N045.35.05.710 W122.34.23.865
                          N045.35.05.421 W122.34.23.893 N045.35.05.519 W122.34.24.084
                          N045.35.05.710 W122.34.23.865 N045.35.05.323 W122.34.24.303
                          N045.35.08.430 W122.36.30.630 N045.35.08.625 W122.36.31.016
                          N045.35.08.625 W122.36.31.016 N045.35.08.844 W122.36.30.606
                          N045.35.08.756 W122.35.39.661 N045.35.08.952 W122.35.39.563
                          N045.35.08.756 W122.35.39.778 N045.35.08.756 W122.35.39.661
                          N045.35.08.770 W122.36.31.669 N045.35.08.574 W122.36.31.282
                          N045.35.08.844 W122.36.30.606 N045.35.08.360 W122.36.30.844
                          N045.35.08.901 W122.35.40.071 N045.35.08.756 W122.35.39.778
                          N045.35.08.952 W122.35.39.563 N045.35.09.045 W122.35.39.633
                          N045.35.09.007 W122.36.31.547 N045.35.08.868 W122.36.31.259
                          N045.35.09.045 W122.35.39.633 N045.35.09.069 W122.35.39.563
                          N045.35.09.059 W122.36.31.040 N045.35.09.250 W122.36.31.426
                          N045.35.09.069 W122.35.39.563 N045.35.09.166 W122.35.39.517
                          N045.35.09.166 W122.35.39.517 N045.35.09.241 W122.35.39.540
                          N045.35.09.190 W122.35.39.927 N045.35.09.045 W122.35.39.633
                          N045.35.09.241 W122.35.39.540 N045.35.09.385 W122.35.39.829
                          N045.35.09.250 W122.36.31.426 N045.35.08.770 W122.36.31.669
                          N045.35.09.385 W122.35.39.829 N045.35.08.901 W122.35.40.071
                          N045.35.10.205 W122.34.43.244 N045.35.10.736 W122.34.43.099
                          N045.35.10.298 W122.34.43.435 N045.35.10.834 W122.34.43.290
                          N045.35.10.424 W122.35.50.270 N045.35.10.666 W122.35.50.148
                          N045.35.10.424 W122.35.50.391 N045.35.10.424 W122.35.50.270
                          N045.35.10.517 W122.35.50.582 N045.35.10.424 W122.35.50.391
                          N045.35.10.615 W122.35.50.656 N045.35.10.517 W122.35.50.582
                          N045.35.10.638 W122.34.42.903 N045.35.10.205 W122.34.43.244
                          N045.35.10.666 W122.35.50.148 N045.35.10.712 W122.35.50.246
                          N045.35.10.712 W122.35.50.847 N045.35.10.903 W122.35.50.754
                          N045.35.10.712 W122.35.50.968 N045.35.10.712 W122.35.50.847
                          N045.35.10.712 W122.35.50.246 N045.35.10.810 W122.35.50.437
                          N045.35.10.736 W122.34.43.099 N045.35.10.298 W122.34.43.435
                          N045.35.10.810 W122.35.50.558 N045.35.11.052 W122.35.50.442
                          N045.35.10.810 W122.35.50.437 N045.35.10.810 W122.35.50.558
                          N045.35.10.857 W122.35.51.262 N045.35.10.712 W122.35.50.968
                          N045.35.10.903 W122.35.50.754 N045.35.11.001 W122.35.50.824
                          N045.35.10.927 W122.34.38.785 N045.35.11.505 W122.34.38.739
                          N045.35.11.001 W122.35.50.824 N045.35.11.025 W122.35.50.754
                          N045.35.11.025 W122.35.50.754 N045.35.11.122 W122.35.50.707
                          N045.35.11.052 W122.35.50.442 N045.35.10.857 W122.35.50.055
                          N045.35.11.122 W122.35.50.707 N045.35.11.197 W122.35.50.731
                          N045.35.11.146 W122.35.51.117 N045.35.11.001 W122.35.50.824
                          N045.35.11.197 W122.35.50.731 N045.35.11.337 W122.35.51.020
                          N045.35.11.216 W122.34.38.762 N045.35.11.314 W122.34.38.953
                          N045.35.11.327 W122.36.42.197 N045.35.11.425 W122.36.42.392
                          N045.35.11.337 W122.35.51.020 N045.35.10.857 W122.35.51.262
                          N045.35.11.379 W122.36.42.052 N045.35.11.327 W122.36.42.197
                          N045.35.11.425 W122.36.42.392 N045.35.11.570 W122.36.42.439
                          N045.35.11.505 W122.34.38.739 N045.35.11.118 W122.34.39.172
                          N045.35.11.523 W122.36.41.982 N045.35.11.379 W122.36.42.052
                          N045.35.11.570 W122.36.42.439 N045.35.11.858 W122.36.42.294
